"trade_id,""type"",""stop_loss_pct"",""date"",""return_pct_absolute"",""return_pct"",""iv"",""equity"",""high_watermark"",""drawdown"",""loss"",""roll_vol"",""roll_sharpe"",""roll_dd"""
"25,""LONG"",12.44,2022-05-28,2.27,0.91,1.009123794,1.20645962518758,1.29901134094689,-0.0712478119643216,FALSE,NA,NA,NA"
"26,""SHORT "",9.12,2022-06-03,24.33,13.34,1.133388158,1.36738705229272,1.36738705229272,0,FALSE,NA,NA,NA"
"27,""SHORT2"",44.21,2022-06-13,14.06,3.18,1.03180276,1.4108737345439,1.4108737345439,0,FALSE,NA,NA,NA"
"28,""LONG"",8.82,2022-07-03,8.09,4.59,1.045861678,1.47557877145621,1.47557877145621,0,FALSE,NA,NA,NA"
"29,""SHORT "",7.41,2022-07-10,1.34,0.9,1.009041835,1.48892071123722,1.48892071123722,0,FALSE,NA,NA,NA"
"30,""LONG"",8.12,2022-07-14,10.23,6.3,1.062992611,1.58271171441003,1.58271171441003,0,FALSE,4.74120553077563,0.347309699184731,-0.147378330617569"
"31,""SHORT "",7.05,2022-07-22,-1.26,-0.89,0.99106383,1.56856833346907,1.58271171441003,-0.00893617000000002,TRUE,4.54649427909956,0.288940573994704,-0.147378330617569"
"32,""LONG"",9.88,2022-07-27,3.91,1.98,1.019787449,1.5996062993706,1.5996062993706,0,FALSE,4.53864352615088,0.282757023313021,-0.147378330617569"
"33,""SHORT "",5.64,2022-08-16,15.67,13.89,1.13891844,1.82182111109334,1.82182111109334,0,FALSE,5.03759480102463,0.360886508702571,-0.147378330617569"
"34,""LONG"",2.99,2022-09-01,-2.99,-5,0.95,1.73073005553867,1.82182111109334,-0.0500000000000001,TRUE,5.10348738102446,0.345646000136852,-0.147378330617569"
"35,""SHORT "",8.79,2022-09-06,-2.84,-1.62,0.983845279,1.70277059436513,1.82182111109334,-0.0653469849500001,TRUE,5.11649000780809,0.340663227591586,-0.147378330617569"
"36,""LONG"",4.05,2022-09-08,1.91,2.36,1.023580247,1.74292234556459,1.82182111109334,-0.0433076359958264,FALSE,5.10326450624398,0.332140338390479,-0.147378330617569"
"37,""SHORT "",15.69,2022-09-15,1.46,0.47,1.004652645,1.75103154450107,1.82182111109334,-0.0388564860519043,FALSE,5.08777818861551,0.341209843598233,-0.147378330617569"
"38,""LONG"",6.42,2022-09-22,-3.06,-2.38,0.976168224,1.70930135296359,1.82182111109334,-0.0617622429801681,TRUE,4.70883791213486,0.262909877787389,-0.147378330617569"
"39,""SHORT "",5.81,2022-09-25,-2.21,-1.9,0.980981067,1.67679226505477,1.82182111109334,-0.0796065240189986,TRUE,4.68513767753641,0.214650397892998,-0.147378330617569"
"40,""LONG"",5.56,2022-09-26,-0.91,-0.82,0.991816547,1.66307031436293,1.82182111109334,-0.0871385207711958,TRUE,4.67964219086062,0.217537999376996,-0.147378330617569"
"41,""SHORT "",6.98,2022-10-02,-3.07,-2.2,0.978008596,1.62649706319937,1.82182111109334,-0.107213626356954,TRUE,4.70435801866908,0.181675515187184,-0.147378330617569"
"42,""LONG"",7.53,2022-10-03,1.6,1.06,1.01062417,1.6437772445033,1.82182111109334,-0.0977285121496868,FALSE,4.57255480790164,0.231088901294455,-0.147378330617569"
"43,""SHORT "",2.6,2022-10-06,2.88,5.54,1.055384615,1.73481721433587,1.82182111109334,-0.0477565531696201,FALSE,4.6297807226941,0.273951059305306,-0.147378330617569"
"44,""LONG"",9.21,2022-10-13,-1.01,-0.55,0.99451683,1.72530491663074,1.82182111109334,-0.0529778658699769,TRUE,4.63371875929365,0.271416271033761,-0.147378330617569"
"45,""SHORT "",3.99,2022-10-14,-2.05,-2.57,0.974310777,1.68098317388442,1.82182111109334,-0.0773061286595791,TRUE,4.68128438019694,0.250358641948322,-0.147378330617569"
"46,""LONG"",4.67,2022-10-23,2.96,3.17,1.031691649,1.73425630260607,1.82182111109334,-0.0480644383546071,FALSE,4.59148687509155,0.307090064364365,-0.147378330617569"
"47,""SHORT "",4.58,2022-11-02,-4.58,-5,0.95,1.64754348747577,1.82182111109334,-0.0956612164368768,TRUE,4.72620525283805,0.267303950156356,-0.147378330617569"
"48,""LONG"",16.83,2022-11-04,-16.83,-5,0.95,1.56516631310198,1.82182111109334,-0.140878155615033,TRUE,4.72620525283805,0.267303950156356,-0.140878155615033"
"49,""SHORT "",15.76,2022-11-08,7.12,2.26,1.022588832,1.6005215920007,1.82182111109334,-0.121471596604691,FALSE,4.69603838908118,0.254682756167589,-0.140878155615033"
